Latitude,Longitude,Stop Name,Stop Status
40.746582,-73.990123,AV OF THE AMERICAS/W 29 ST,at stop
40.781039,-73.976146,COLUMBUS AV/W 78 ST,at stop
40.753548,-73.985047,AV OF THE AMERICAS/W 40 ST,at stop
40.821311,-73.936228,146 ST/LENOX AV,approaching
40.814047,-73.940991,MALCOLM X BL/W 135 ST,approaching
40.751201,-73.990468,7 AV/W 34 ST,approaching
40.801586,-73.959335,MANHATTAN AV/CATHEDRAL PY,approaching
40.757339,-73.982291,AV OF THE AMERICAS/W 47 ST,approaching
40.8159,-73.939451,MALCOLM X BL/W 139 ST,approaching
40.804723,-73.947806,MALCOLM X B / W 119 ST,approaching
40.800594,-73.960057,MANHATTAN AV/W 111 ST,approaching
40.814534,-73.94044,MALCOLM X BL/W 137 ST,< 1 stop away
40.798104,-73.967406,AMSTERDAM AV/W 104 ST,< 1 stop away
40.814351,-73.940582,MALCOLM X BL/W 137 ST,< 1 stop away
40.776911,-73.97915,COLUMBUS AV/W 69 ST,< 1 stop away
40.76539,-73.98013,7 AV/W 54 ST,< 1 stop away
40.73784,-73.996486,AV OF THE AMERICAS/W 18 ST,< 1 stop away
40.806213,-73.946536,MALCOLM X BL/W 125 ST,< 1 stop away
40.796913,-73.96456,COLUMBUS AV/W 100 ST,< 1 stop away
40.771873,-73.982075,BROADWAY/W 66 ST,< 1 stop away
